localhost (ubuntu18.04)
=======================
Total: 359 (High:92 Medium:236 Low:31 ?:0), 0/281 Fixed, 1935 installed, 16 exploits, en: 3, ja: 1 alerts

+------------------+------+--------+-----+--------+---------+---------------------------------------------------+
|      CVE-ID      | CVSS | ATTACK | POC |  CERT  |  FIXED  |                        NVD                        |
+------------------+------+--------+-----+--------+---------+---------------------------------------------------+
| CVE-2017-9525    | 10.0 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-9525    |
| CVE-2018-14721   | 10.0 |  AV:N  |     |        |         | https://nvd.nist.gov/vuln/detail/CVE-2018-14721   |
| CVE-2019-18276   | 10.0 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-18276   |
| CVE-2014-5044    |  9.8 |  AV:N  |     |        | unknown | https://nvd.nist.gov/vuln/detail/CVE-2014-5044    |
| CVE-2016-1585    |  9.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-1585    |
| CVE-2016-8735    |  9.8 |  AV:N  | POC |        |         | https://nvd.nist.gov/vuln/detail/CVE-2016-8735    |
| CVE-2016-9085    |  9.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-9085    |
| CVE-2016-9841    |  9.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-9841    |
| CVE-2016-9843    |  9.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-9843    |
| CVE-2017-15095   |  9.8 |  AV:N  | POC |        |         | https://nvd.nist.gov/vuln/detail/CVE-2017-15095   |
| CVE-2017-17485   |  9.8 |  AV:N  | POC |        |         | https://nvd.nist.gov/vuln/detail/CVE-2017-17485   |
| CVE-2017-18201   |  9.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-18201   |
| CVE-2017-18342   |  9.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-18342   |
| CVE-2017-5651    |  9.8 |  AV:N  |     |        |         | https://nvd.nist.gov/vuln/detail/CVE-2017-5651    |
| CVE-2017-7525    |  9.8 |  AV:N  | POC |        |         | https://nvd.nist.gov/vuln/detail/CVE-2017-7525    |
| CVE-2017-7546    |  9.8 |  AV:N  |     |        |         | https://nvd.nist.gov/vuln/detail/CVE-2017-7546    |
| CVE-2017-8046    |  9.8 |  AV:N  | POC |        |         | https://nvd.nist.gov/vuln/detail/CVE-2017-8046    |
| CVE-2017-8283    |  9.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-8283    |
| CVE-2018-1000852 |  9.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-1000852 |
| CVE-2018-11236   |  9.8 |  AV:N  | POC |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-11236   |
| CVE-2018-11307   |  9.8 |  AV:N  |     | USCERT |         | https://nvd.nist.gov/vuln/detail/CVE-2018-11307   |
| CVE-2018-12699   |  9.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-12699   |
| CVE-2018-14718   |  9.8 |  AV:N  |     |        |         | https://nvd.nist.gov/vuln/detail/CVE-2018-14718   |
| CVE-2018-14719   |  9.8 |  AV:N  |     |        |         | https://nvd.nist.gov/vuln/detail/CVE-2018-14719   |
| CVE-2018-14720   |  9.8 |  AV:N  |     |        |         | https://nvd.nist.gov/vuln/detail/CVE-2018-14720   |
| CVE-2018-16301   |  9.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-16301   |
| CVE-2018-16850   |  9.8 |  AV:N  |     |        |         | https://nvd.nist.gov/vuln/detail/CVE-2018-16850   |
| CVE-2018-19360   |  9.8 |  AV:N  |     |        |         | https://nvd.nist.gov/vuln/detail/CVE-2018-19360   |
| CVE-2018-19361   |  9.8 |  AV:N  |     |        |         | https://nvd.nist.gov/vuln/detail/CVE-2018-19361   |
| CVE-2018-19362   |  9.8 |  AV:N  |     |        |         | https://nvd.nist.gov/vuln/detail/CVE-2018-19362   |
| CVE-2018-20839   |  9.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-20839   |
| CVE-2018-7489    |  9.8 |  AV:N  | POC |        |         | https://nvd.nist.gov/vuln/detail/CVE-2018-7489    |
| CVE-2018-8014    |  9.8 |  AV:N  |     |        |         | https://nvd.nist.gov/vuln/detail/CVE-2018-8014    |
| CVE-2019-10160   |  9.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-10160   |
| CVE-2019-10211   |  9.8 |  AV:N  |     |        |         | https://nvd.nist.gov/vuln/detail/CVE-2019-10211   |
| CVE-2019-14379   |  9.8 |  AV:N  |     |        |         | https://nvd.nist.gov/vuln/detail/CVE-2019-14379   |
| CVE-2019-14540   |  9.8 |  AV:N  | POC |        |         | https://nvd.nist.gov/vuln/detail/CVE-2019-14540   |
| CVE-2019-16089   |  9.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-16089   |
| CVE-2019-16335   |  9.8 |  AV:N  |     |        |         | https://nvd.nist.gov/vuln/detail/CVE-2019-16335   |
| CVE-2019-16942   |  9.8 |  AV:N  |     |        |         | https://nvd.nist.gov/vuln/detail/CVE-2019-16942   |
| CVE-2019-16943   |  9.8 |  AV:N  |     |        |         | https://nvd.nist.gov/vuln/detail/CVE-2019-16943   |
| CVE-2019-17267   |  9.8 |  AV:N  |     |        |         | https://nvd.nist.gov/vuln/detail/CVE-2019-17267   |
| CVE-2019-17531   |  9.8 |  AV:N  |     |        |         | https://nvd.nist.gov/vuln/detail/CVE-2019-17531   |
| CVE-2019-17563   |  9.8 |  AV:N  |     |        |         | https://nvd.nist.gov/vuln/detail/CVE-2019-17563   |
| CVE-2019-17626   |  9.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-17626   |
| CVE-2019-19948   |  9.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-19948   |
| CVE-2019-19952   |  9.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-19952   |
| CVE-2019-20079   |  9.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-20079   |
| CVE-2019-9169    |  9.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-9169    |
| CVE-2019-0232    |  9.3 |  AV:N  | POC |        |         | https://nvd.nist.gov/vuln/detail/CVE-2019-0232    |
| CVE-2019-10220   |  9.3 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-10220   |
| CVE-2019-19813   |  9.3 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-19813   |
| CVE-2019-19814   |  9.3 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-19814   |
| CVE-2019-19816   |  9.3 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-19816   |
| CVE-2016-9180    |  9.1 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-9180    |
| CVE-2017-5648    |  9.1 |  AV:N  |     |        |         | https://nvd.nist.gov/vuln/detail/CVE-2017-5648    |
| CVE-2018-1115    |  9.1 |  AV:N  |     |        |         | https://nvd.nist.gov/vuln/detail/CVE-2018-1115    |
| CVE-2019-19949   |  9.1 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-19949   |
| CVE-2019-9948    |  9.1 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-9948    |
| CVE-2019-9193    |  9.0 |  AV:N  |     |        |         | https://nvd.nist.gov/vuln/detail/CVE-2019-9193    |
| CVE-2015-5237    |  8.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2015-5237    |
| CVE-2016-9840    |  8.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-9840    |
| CVE-2016-9842    |  8.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-9842    |
| CVE-2017-14160   |  8.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-14160   |
| CVE-2017-7547    |  8.8 |  AV:N  |     |        |         | https://nvd.nist.gov/vuln/detail/CVE-2017-7547    |
| CVE-2018-1000021 |  8.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-1000021 |
| CVE-2018-10392   |  8.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-10392   |
| CVE-2018-1058    |  8.8 |  AV:N  |     |        |         | https://nvd.nist.gov/vuln/detail/CVE-2018-1058    |
| CVE-2018-11489   |  8.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-11489   |
| CVE-2018-7160    |  8.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-7160    |
| CVE-2019-10208   |  8.8 |  AV:N  |     |        |         | https://nvd.nist.gov/vuln/detail/CVE-2019-10208   |
| CVE-2019-11707   |  8.8 |  AV:N  | POC |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-11707   |
| CVE-2019-17594   |  8.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-17594   |
| CVE-2019-9278    |  8.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-9278    |
| CVE-2019-9543    |  8.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-9543    |
| CVE-2019-9545    |  8.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-9545    |
| CVE-2020-5310    |  8.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-5310    |
| CVE-2020-5311    |  8.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-5311    |
| CVE-2020-5312    |  8.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-5312    |
| CVE-2020-5313    |  8.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-5313    |
| CVE-2017-12617   |  8.1 |  AV:N  | POC | JPCERT |         | https://nvd.nist.gov/vuln/detail/CVE-2017-12617   |
| CVE-2017-15098   |  8.1 |  AV:N  |     |        |         | https://nvd.nist.gov/vuln/detail/CVE-2017-15098   |
| CVE-2017-17916   |  8.1 |  AV:N  |     |        |         | https://nvd.nist.gov/vuln/detail/CVE-2017-17916   |
| CVE-2017-17917   |  8.1 |  AV:N  |     |        |         | https://nvd.nist.gov/vuln/detail/CVE-2017-17917   |
| CVE-2017-17919   |  8.1 |  AV:N  |     |        |         | https://nvd.nist.gov/vuln/detail/CVE-2017-17919   |
| CVE-2017-17920   |  8.1 |  AV:N  |     |        |         | https://nvd.nist.gov/vuln/detail/CVE-2017-17920   |
| CVE-2018-1000500 |  8.1 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-1000500 |
| CVE-2018-10925   |  8.1 |  AV:N  |     |        |         | https://nvd.nist.gov/vuln/detail/CVE-2018-10925   |
| CVE-2018-5968    |  8.1 |  AV:N  |     |        |         | https://nvd.nist.gov/vuln/detail/CVE-2018-5968    |
| CVE-2019-13351   |  8.1 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-13351   |
| CVE-2019-17543   |  8.1 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-17543   |
| CVE-2013-7445    |  7.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2013-7445    |
| CVE-2016-2568    |  7.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-2568    |
| CVE-2017-11164   |  7.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-11164   |
| CVE-2017-11695   |  7.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-11695   |
| CVE-2017-11696   |  7.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-11696   |
| CVE-2017-11697   |  7.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-11697   |
| CVE-2017-11698   |  7.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-11698   |
| CVE-2017-13165   |  7.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-13165   |
| CVE-2017-15131   |  7.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-15131   |
| CVE-2017-7245    |  7.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-7245    |
| CVE-2017-7246    |  7.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-7246    |
| CVE-2017-7961    |  7.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-7961    |
| CVE-2018-1000035 |  7.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-1000035 |
| CVE-2018-1000876 |  7.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-1000876 |
| CVE-2018-11237   |  7.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-11237   |
| CVE-2018-12930   |  7.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-12930   |
| CVE-2018-12931   |  7.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-12931   |
| CVE-2018-19358   |  7.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-19358   |
| CVE-2018-19931   |  7.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-19931   |
| CVE-2018-20030   |  7.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-20030   |
| CVE-2018-20669   |  7.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-20669   |
| CVE-2018-20843   |  7.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-20843   |
| CVE-2018-7738    |  7.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-7738    |
| CVE-2019-1010180 |  7.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-1010180 |
| CVE-2019-12439   |  7.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-12439   |
| CVE-2019-16229   |  7.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-16229   |
